;split name;Since 2015 STD 2 pearson_corr;Since 2015 STD 2 rmse;Since 2015 STD 2 nrmse;Val pearson_corr;Val rmse;Val nrmse;Test pearson_corr;Test rmse;Test nrmse;run;name;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;Random Split (Cross Val) Rural;0.5684415389003765;0.163215656628538;0.8329963128652148;0.6012202918686294;0.171253512728721;0.8063771036323868;0.5971246315969482;0.1719673815471406;0.8097384797641715;996x996;c432;fillmean;rlocal;channel;mean;clipvoutlier2.5;normZ;f10815vgg16;wimagenet;unfl100;d0.2;lr0.001;momentum0.9;optimizerSGD;horizontal;flip;;m;vgg16;hFalse;wFalse1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;Random Split (Cross Val) Rural;0.1485739150919669;0.1989800547649826;10.155.254.426.980.500;0.1605299329323331;0.2117052622430817;0.9968512380924754;0.1594290500000658;0.211645283950651;0.996568819817017;996x996;c432;fillmean;rlocal;channel;mean;clipvoutlier2.5;normZ;f10815vgg16;wimagenet;unfl100;d0.2;lr1e-05;momentum0.8;optimizerSGD;horizontal;flip;;m;vgg16;hFalse;wFalse1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;Random Split (Cross Val) Rural;0.2894045843270958;0.190080300071931;0.9701041700220528;0.2583422226516618;0.205788792780777;0.968992507297854;0.2997478026015437;0.2032941218267886;0.9572459129866496;996x996;c432;fillmean;rlocal;channel;mean;clipvoutlier2.5;normZ;f10815vgg16;wimagenet;unfl100;d0.2;lr1e-05;momentum0.9;optimizerSGD;horizontal;flip;;m;vgg16;hFalse;wFalse1;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;Random Split (Cross Val) Rural;0.6261189347287557;0.1532631414213392;0.7822021143025141;0.653511738265842;0.1607460553150834;0.7569009034614065;0.6530677957154291;0.1608319555532305;0.7573053797500073;996x996;c432;fillmean;rlocal;channel;mean;clipvoutlier2.5;normZ;f10815vgg16;wimagenet;unfl100;dFalse;lr0.0001;adjustlr;momentum0.9;optimizerSGD;;m;vgg16;hFalse;wFalse1;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;Random Split (Cross Val) Rural;0.6321321914967746;0.152453373738274;0.7780693398603789;0.6591737273728985;0.1608288889077798;0.7572909399137844;0.6596843822369926;0.1606939281971109;0.7566554538134453;996x996;c432;fillmean;rlocal;channel;mean;clipvoutlier2.5;normZ;f10815vgg16;wimagenet;unfl100;dFalse;lr0.0001;momentum0.9;optimizerSGD;;m;vgg16;hFalse;wFalse1;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;Random Split (Cross Val) Rural;0.6251673291599225;0.153291044016969;0.7823445195089699;0.6476274423314344;0.1618164316064693;0.7619409573551434;0.6533098262840521;0.1608075151419871;0.7571902978009366;996x996;c432;fillmean;rlocal;channel;mean;clipvoutlier2.5;normZ;f10815vgg16;wimagenet;unfl65;dFalse;lr0.0001;adjustlr;momentum0.9;optimizerSGD;;m;vgg16;hFalse;wFalse1;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;Random Split (Cross Val) Rural;0.6303529992756219;0.1526397972729762;0.7790207811635357;0.6561186833872007;0.1606585480450747;0.7564888601823397;0.6574704004253876;0.1603903618022079;0.7552260583728401;996x996;c432;fillmean;rlocal;channel;mean;clipvoutlier2.5;normZ;f10815vgg16;wimagenet;unfl65;dFalse;lr0.0001;momentum0.9;optimizerSGD;;m;vgg16;hFalse;wFalse1;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;Random Split (Cross Val) Rural;0.1873024499784437;0.300552469286431;15.339.159.484.431.300;0.2474132251717456;0.3065025062180618;14.432.206.340.298.700;0.2071651713926992;0.3125084127273826;14.715.004.947.959.700;996x996;c432;fillmean;rlocal;channel;mean;clipvoutlier2.5;normZ;f10815vgg16;wimagenet;unfl80;dFalse;lr0.0001;adjustlr;momentum0.99;optimizerSGD;;m;vgg16;hFalse;wFalse1;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;Random Split (Cross Val) Rural;0.6249657467972285;0.1547251076068337;0.7896634845362668;0.6486241943750524;0.1643192267521664;0.7737258058432991;0.650528641238465;0.1640104041172166;0.7722716604775254;996x996;c432;fillmean;rlocal;channel;mean;clipvoutlier2.5;normZ;f10815vgg16;wimagenet;unfl80;dFalse;lr0.0001;adjustlr;momentum0.9;optimizerSGD;;m;vgg16;hFalse;wFalse1;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Random Split (Cross Val) Rural;0.6806538101179935;0.1602452427745752;0.753537887183881;0.6848828446798731;0.1642079263564763;0.7421332902850034;0.6871405867534233;0.1637816687110185;0.7402068303634158;996x996;c432;fillmean;rlocal;channel;mean;clipvoutlier2.5;normZ;f37363vgg16;wimagenet;unfl0.5;dFalse;lr0.0001;momentum0.9;optimizerAdam;;m;vgg16;hFalse;wFalse1;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Random Split (Cross Val) Urban;0.5762579545925973;0.1407710067944971;0.8281019119488757;0.61417838849998;0.1496674516917425;0.791347743717656;0.6059197473235258;0.1508471217704912;0.7975851002343671;996x996;c432;fillmean;rlocal;channel;mean;clipvoutlier2.5;normZ;f37363vgg16;wimagenet;unfl0.5;dFalse;lr0.0001;momentum0.9;optimizerAdam;;m;vgg16;hFalse;wFalse1;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Random Split (Cross Val) Urban;0.4493360953074269;0.1539631047109031;0.9057059708808436;0.4816272076593152;0.166649848474568;0.8811400213645431;0.4827364478198488;0.1665395619501743;0.8805568952990229;996x996;c432;fillmean;rlocal;channel;mean;clipvoutlier2.5;normZ;f37363vgg16;wimagenet;unfl0.5;dFalse;lr0.0001;momentum0.9;optimizerSGD;;m;vgg16;hFalse;wFalse1;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
